Source,NEW FORMAT,Linear A
MA1a,QE-MA-MI-NU,qmmn
MA1b,A-MA,am
MA1b,QE-MA-MI-NU,qmmn
MA2a,DU-RA,dr
MA2b,RE-TI,rt
MA2b,JA-KU,jk 
MA2b,YA-KU ,yk 
MA2c,U-NA-NA,unn
PK1,KA-QA,kq
PK1,A-DU-ZA,adz
PK1,TA-TA-RE,ttr
PK1,TA-TI-TE,ttt
PK1,O-KA-MI-ZA-SI-I-NA,okmzsin
PK1,O-TE-JA,otj
PK1,O-TE-YA,oty
PK1,RA-NA-TU-SU,rnts
PK1,NI-MI,nm
PK1,TU-SU,ts
PK1,MA-TI-ZA-I-TE,mtzit
PK1,MA-TE-TI,mtt
PK1,MA-KA-I-TA,mkit
PA1,A-KU-JU-PA,akjp
PA1,A-KU-YU-PA,akyp
PH2,A-SE-O-QI,asoq
PH2,RA-O-DI-KI,rodk
PH2,PI-RU-TI-JU,prtj
PH2,PI-RU-TI-YU,prty
PH3a,PA-RA,pr
PH6,I-NA-WA,inw
PH14b,MI-A,ma
PH15a,MA-TE-RE,mtr
PH16a,U-NI,un
PH18a,WI-JA,wj
PH18a,WI-YA,wy
PH19,PI-O,po
PH24,RO-E,re
PH28a,A-RI-JA,arj
PH28a,A-RI-YA,ary
PH31a,MA-DI,md
PH31a,KU-RO,kr
PH31b,TE-RI,tr
PYR1,TI-MA-RU-WI-TE-SE,tmrwts
TY3b,KI-RA-SI,krs
ZA1a,KI-RE-ZA,krz
GO Wc 1a,DA-SA-SU-MA-I-SE,dssmis
Wa 1001-1005,DA-KA,dk
Wa 1014-1018,SI-KA,sk
Wc 3001-3002,PA-I-JA,pij
,PA-I-YA,piy
Wc 3003,KA-RE-RO,krr
Wc 3007a,WA-DI-NI,wdn
Wc 3007b,RU-JA-TA-DI,rjtd
,RU-YA-TA-DI,rytd
Wc 3014a,KU-MI-NA,kmn
Wc 3015a,KA-KU-PA,kkp
KE Wc 2b,RO-RO,rr
MA Wc 5a,A-SA-DA-KA,asdk
PH Wc 39a,JA-NA,jn
,YA-NA,yn
ZA Wc 2,A-TI-KA-A-DU-KO-MI,atkadkm
ARKH001a,MI-KI-SA-NE,mksn
ARKH002,A-SI-DA-TO-I,asdti
ARKH002,A-SU-PU-WA,aspw
ARKJ004a,NI-TA-,nt
ARKJ004a,PI-TI-NE-A-,ru
ARKH004b ,RE-U,dmi047
ARKH005,A-JU-NI-TA-NA,ajntn
KH005,A-DA-KI-SI-KA ,adksk
KH005,A-RA-U-DA,arud
KH005,WI-NA-DU,wnd
KH007a,I-JA-PA-ME,ijpm
KH007a,TA-TA,tt
KH010,I-PA-SA-JA ,ipsj
ZA004a,JA-TO-JA,jtj
ZA004a,A-TI-RU,atr
ZA004a,QE-SI-ZU-E,qsze
ZA004a,SI-PI-KI,spk
ZA004a,KA-DI,kd
ZA005a,SA-MI-DA-E,smde
ZA005b,SI-PI-KI,spk905
ZA005b,MA-KA-I-TA,mkit
ZA006a,I-SE,is
